,comment,quality,difficulty
 INTRL1754,Professor Chang's class was one of my favorites this semester. She's very informed and helpful towards her students. I love the structure of the class and the selected readings. The class discussions are interesting and interactive. Overall a good class and well taught. Highly recommend to anyone interested in working for the UN.,5.0,3.0
 INTRLGA1754,"Patty Chang is great. She was recommended to me by a friend and I'm very glad. Every time I have had questions she has been willing to help - not only about coursework but also with other issues such as internships and my career. She is a great professor, always making jokes and encouraging us to participate. Would definitely recommend her class.",5.0,4.0
 CFI101,"He's very diverse with his readings, sometimes it's heavy but not too bad. HW is easy and simple. Grades essays/paragraphs through google docs + gives good feedback. One huge google doc of all the notes from the class. He emails back fast and helps during office hours. Light lectures. One pop quiz. Super funny and caring, highly recommend!",5.0,3.0
 CFIUF101,"TAKE HIM. Prof Reichert is probably the most likable person and teacher I have ever met. Every type of person loves him and his class. Engaging, interesting discussions; very little homework; no stress. Brilliant, hilarious, and genuinely kind teacher. You will actually look forward to going to his class. Easily the best teacher in LS.",5.0,1.0
 HBSE1,"Midterm, final, 2 critical analysis and 2 other short assignments. Although the workload was a bit heavy she was an amazing teacher. She was light, funny and I definitely learned a lot. A bit of a tough grader (very strict about APA) in the end I received an A, she always wants to help. I would definitely take her again,",5.0,4.0
 SW6209,"I took Professor Ponteen for SW 6209 (HBSE II) at Fordham. She is an excellent professor who knows her information and stimulates interesting class discussions. She is clear about her expectations and responds to emails quickly to clarify any questions. Need to read for quizzes! Also, she has great style so I'll give her a chili pepper. ",5.0,4.0
 MSW,"Professor Ponteen is smart and has a sense of humor. She expects you to read, read, read, however she sets the tone of the class.  She's extremely particular about APA format and you will lose points if you don't even send your paper the right way. However, she prepared me for my next semester. So far, she's been the toughtest professor yet! ",4.0,4.0
 MSWGS2006,"Professor Ponteen is smart, she works extra hard to make sure you understand the work.  She a great sense of humor and expects students to learn.  She is a wonderful Professor and if she taught Human Behavior II, I would definitely take her class again. Don't get me wrong, you are expected to read a lot, but it's for your own good. ",4.0,4.0
 RELIG213,"I am a Religious Studies major and  Burchett was one of the best professors I've ever had. Though there was a lot of reading and information, his lectures are clear and the power points are info heavy and put online. There are tons of opportunities  to get a good grade and he has a pretty big extra credit assignment at the end. Would 100% recommend",4.0,4.0
 RELSTUA1,Professor Reed was very passionate about the course and gave really engaging lectures. The way the class was graded also makes it very easy to do well if you do the readings. Attendance was not mandatory but you get a lot out of coming to class.,5.0,3.0
 YOGAANDTANTRA,The best thing about Professor Burchett is his commitment to the subject. He almosts gets a sparkle in his eyes when he talks about Tantra. Take this class! Please!,5.0,4.0
 RELSTUA337,"Drew is a fantastic professor. There's a fair amount of reading in this course not too much but you'll want to keep up. He gives very easy pop quizzes so if you show up to class, you'll get an A.",5.0,2.0
 RELST1,"very good professor. a decent selection of readings and some very interesting/engaging classroom discussions. work-load was relatively light, definitely recommend",4.5,1.0
 MCC001,I took Censorship in American Culture with Professor Gary. He is great. He is very enthusiastic about the class and he is always very helpful. He is a great teacher and I would definitely recommend taking this class with him.,5.0,2.0
 MCC0003,"I really liked her. She was extremely passionate, put a lot of time and energy in her lectures and seemed to really cared about students learning. The work was reasonable and she was always willing to answer any questions you had. TA's on the other hand were a disaster.",4.0,1.0
 MCCUE1,"I'm an MCC major, and her class is what really got me into my field. Like, insanely excited about studying and learning and whatnot. She's big on examples and she tries to be as lively as she can, even during the more technical lectures. Try doing most of the readings to get a full understanding of the topic. They're interesting anyway!",4.0,3.0
